Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,pmRA,pmDE,Plx,SimbadName,_RA_icrs,_DE_icrs,Source,RV,Gmag,BP-RP,Proba
NGC_1027,40.429466169,61.35952819072,135.75226330867,1.26346464231,-1.661,1.557,0.8311,,40.42948108741,61.359521488,465668570515371008,,13.9844,1.2327,0.4
NGC_1027,40.68110788952,61.43056395881,135.83257479564,1.37798307203,-1.808,2.02,0.8725,Gaia DR2  465674205512534784,40.68112416579,61.43055526174,465674205512534784,,15.5546,1.3986,1.0
NGC_1027,40.65999876895,61.62784818507,135.74144584917,1.55326365276,-1.464,2.188,0.9113,Gaia DR2  465681180539128064,40.66001202943,61.62783876451,465681180539128064,,17.6778,1.6974,0.7
NGC_1027,40.61063139992,61.63130665064,135.71865901743,1.54667775875,-2.19,2.242,0.9142,Gaia DR2  465680974380700672,40.61065124689,61.6312969988,465680974380700672,,17.0677,1.5544,0.9
NGC_1027,40.4806555341,61.59159105781,135.6788119447,1.48495665673,-1.873,2.346,0.8267,Gaia DR2  465680046667820928,40.48067248843,61.5915809585,465680046667820928,,16.5445,1.4775,0.9
NGC_1027,40.78352776963,61.32771164071,135.92001453364,1.30488048454,-1.702,2.225,0.8139,Gaia DR2  465625895718475008,40.78354304315,61.32770206167,465625895718475008,,17.6328,1.7349,1.0
NGC_1027,40.13126811271,61.65466042706,135.50144412008,1.47433142375,-2.115,1.769,0.883,Gaia DR2  465690045351933056,40.13128729031,61.6546528103,465690045351933056,,12.9301,0.6162,0.9
NGC_1027,40.34359478698,61.66786653459,135.58802109129,1.52764345426,-1.506,1.199,0.7419,,40.34360845374,61.66786137397,465692484893052544,,13.9003,1.0414,0.1
NGC_1027,40.44652841853,61.59846473298,135.66118189841,1.48452119368,-1.805,1.888,0.8752,Gaia DR2  465680081027556608,40.44654475832,61.59845660441,465680081027556608,,11.36,0.4305,1.0
NGC_1027,40.58123206306,61.73781544946,135.6618121694,1.63783429523,-1.804,2.508,0.9591,Gaia DR2  465682692367535488,40.58124846437,61.73780465061,465682692367535488,,14.2615,1.0793,1.0
NGC_1027,40.6086255429,61.69851011708,135.68992252649,1.60744001602,-1.663,2.061,0.8882,Gaia DR2  465682310106654720,40.60864064376,61.69850124136,465682310106654720,,17.917,1.7563,0.7
